MAHALLE_KOY_NO,MAHALLE_KOY_ADI
658,SARIHU–LAR
659,B‹Y‹K«ILDIRIM
660,G÷K«ELER
661,HADIRLI
662,KARAKUYU
663,KOYUNCU
664,YALMANLI
665,YEN›DAM
666,YOLGE«EN
667,ZEYT›NL›
668,ELEMANLI
669,KAYAPINAR
670,CUMHUR›YET
671,YEN›CAM›
672,›ST›KLAL
673,BOZG‹NEY
674,AK«AL
675,AKPINAR
676,AYVAT
677,«ATAL«AM
678,«UKURKIﬁLA
679,DAMLALI
680,DEM›ROLUK
681,DO–ANBEYL›
682,DO–ANLI
683,EVC›
684,FATMAKUYU
685,G‹ZEL›M
686,HANYER›
687,›–DEBEL
688,KARSAVURAN
689,KAYIRCIK
690,K›RAZLIYURT
691,KO«CA–IZ
692,ORTAK÷Y
693,PEKMEZL›
694,PINARLAR
695,POLATPINARI
696,ﬁARK÷Y
697,TAﬁPINAR
698,TOZLU
699,YAMANLI
700,YEﬁ›LOVA
701,ASMALI
702,AYVALIK
703,DEM›RTAﬁ
704,DEVEC›UﬁA–I
705,G÷LOVASI
706,HAMZALI
707,HAYLAZLI
708,KALEML›
709,KESMEBURUN
710,KIRMIZIDAM
711,KUZUPINARI
712,NARLI÷REN
713,SUG÷Z‹
714,AYAS
715,DEVR›ﬁ›YE
716,÷REN
717,KEMALPAﬁA
718,KALDIRIM
719,ZEYT›NBEL›
720,AKDEN›Z
721,AKYUVA
722,YEﬁ›LK÷Y
723,YEN›K÷Y
724,YUMURTALIK
725,AKARCALI
726,A–ZIB‹Y‹K
727,PEKMEZL›
728,AKDAM
729,«›NE
730,SA–DI«LI
731,YUNUSO–LU CUMHUR›YET
732,D‹ZCE
733,YUKARI«›«EKL›
734,HEREKL›
735,CIRRIK
736,ABD›O–LU CUMHUR›YET 
737,KADIK÷Y
738,DANIﬁMENT
739,K÷PR‹G÷Z‹
740,ZA–ARLI
741,SOLAKLI H‹RR›YET
742,SAKIZLI
743,BEYK÷Y
744,«A–IRKANLI
745,G÷K«EL›
746,ﬁAH›NA–A
747,KIﬁLA
748,ﬁEYHMURAT
749,ESENLER
750,HAVRAN›YE
751,DEDEKORKUT
752,HAVUTLU
753,PAﬁAK÷Y
754,HACIAL›
755,KARAAHMETL›
756,ATAT‹RK
757,K‹T‹KL‹
758,÷ZLER
759,YUNUSEMRE
760,AYDINCIK
761,E–R›A–A«
762,YEN›CE
763,DO–ANKENT CUMHUR›YET
764,G‹M‹ﬁYAZI
765,YERDELEN
766,GE«›TL›  CUMHUR›YET
767,«OTLU
768,DEN›ZKUYUSU
769,GAZ›PAﬁA
770,K÷KL‹CE
771,G‹ZEL CUMHUR›YET
772,CUMHUR›YET
773,AL›HOCALI
774,TAﬁCI
775,YALNIZCA
776,YAKAPINAR
777,KAYARLI
778,KAMIﬁLI
779,B‹Y‹KKAPILI
780,IRMAKBAﬁI
781,YUNUSO–LU H‹RR›YET
782,ESK› M›S›S
783,BAH«EL›EVLER
784,SAZAK
785,YEN›K÷Y
786,DEDEPINARI
787,CAM›L›
788,VAYVAYLI
789,AKPINAR
790,BEL÷REN
791,«ATALPINAR
792,G‹VELO–LU
793,KAﬁLICA
794,MUTLU
795,ATAKENT
796,KARACAO–LAN
797,AKINCILAR
798,AKDEN›Z
799,ANADOLU
800,DO–ANKENT BAH«EL›EVLER
801,BAﬁAK
802,«AMLIBEL
803,SOLAKLI CUMHUR›YET
804,DADALO–LU
805,DERV›ﬁLER
806,G‹NEﬁL›
807,G‹ZELEVLER
808,HAYDARO–LU
809,DO–ANKENT KIﬁLA
810,K›REM›THANE
811,KOZA
812,K÷PR‹L‹
813,KAZIM KARABEK›R
814,LEVENT
815,19.05.2025
816,÷ZG‹R
817,PTT EVLER›
818,SER›NEVLER
819,SEYHAN
820,S›NANPAﬁA
821,SARI«AM
822,SELAHATT›N EYYUB›
823,ﬁEH›T ERKUT AKBAY
824,ULUBATLI HASAN
825,TAHS›LL›
826,YAMA«LI
827,YAVUZLAR
828,YEN›DO–AN
829,YEﬁ›LBA–LAR
830,«ELEML›
831,YAHﬁ›LER
832,AL›TAﬁI
833,BAH«EL›EVLER
834,ESK›SARAY
835,FAT›H
836,SIRATUT
837,HOCA÷MER
838,›MAMA–A
839,KAPCAM›
840,KARAPINAR
841,KAYALIK
842,MARA
843,MUSALLA
844,÷RENL›
845,PETROL
846,ULUCAM›
847,VARLIK
848,YEN›PINAR
849,BAH«EC›K
850,BARBAROS HAYRETT›N
851,CUMHUR›YET
852,MALAZG›RT
853,M›MAR S›NAN
854,S›TELER
855,S‹MEREVLER
856,TURGUT RE›S
857,YAVUZ SEL›M
858,MEHMET AK›F
859,YEﬁ›LYURT
860,YEN›SANAY›
861,YUNUS EMRE
862,YEN›MAHALLE
863,ALTINﬁEH›R
864,ESENTEPE
865,AL› ERDEMO–LU
866,15 TEMMUZ ﬁEH›TLER MAHALLES›
