ILCE_NO,ILCE_ADI
1108,MERKEZ  ‹SK‹P
1109,PINARH›SAR  KAYNARCA
1110,V›ZE  «AKILLI
1111,V›ZE  KIYIK÷Y
1112,«›«EKDA–I K÷SEL›
1113,KAMAN KURANCILI
1114,KIRﬁEH›R ›L MERKEZ›
1115,MERKEZ ÷ZBA–
1116,K›L›S ›L MERKEZ›
1117,DOMAN›« «UKURCA
1118,GED›Z ESK›GED›Z
1119,GED›Z G÷KLER
1120,GED›Z YEN›KENT
1121,K‹TAHYA ›L MERKEZ›
1122,MERKEZ SEY›T÷MER
1123,S›MAV AKDA–
1124,S›MAV «›TG÷L
1125,S›MAV DEM›RC›
1126,S›MAV G‹NEY
1127,S›MAV KUﬁU
1128,S›MAV NAﬁA
1129,TAVﬁANLI BALIK÷Y
1130,TAVﬁANLI KURU«AY
1131,TAVﬁANLI TEPEC›K
1132,TAVﬁANLI TUN«B›LEK
1133,BULANIK ELMAKAYA
1134,BULANIK ERENTEPE
1135,BULANIK R‹STEMGED›K
1136,BULANIK SARIPINAR
1137,BULANIK UZG÷R‹R
1138,BULANIK YONCALI
1139,HASK÷Y D‹ZKIﬁLA
1140,KORKUT ALTINOVA
1141,MALAZG›RT KONAKKURAN
1142,MERKEZ KARAA–A«LI
1143,MERKEZ KIRK÷Y
1144,MERKEZ KIZILA–A«
1145,MERKEZ KONUKBEKLER
1146,MERKEZ SER›NOVA
1147,MERKEZ SUNGU
1148,MERKEZ YAYGIN
1149,MERKEZ YEﬁ›LOVA
1150,MUﬁ ›L MERKEZ›
1151,ACIG÷L KARAPINAR
1152,ACIG÷L TATLAR›N
1153,AVANOS KALABA
1154,AVANOS ÷ZKONAK
1155,AVANOS T‹RKEL›
1156,DER›NKUYU YAZIH‹Y‹K
1157,MERKEZ «AT
1158,MERKEZ G÷RE
1159,MERKEZ G÷REME
1160,MERKEZ KAVAK
